样本ID,场景,子类型(英文),子类型(中文),迁移类型(英文),迁移类型(中文),实现范围(英文),实现范围(中文),逻辑对应范围(英文),逻辑对应范围(中文),仓库名,仓库创建时间,仓库Stars,PR编号,PR链接,PR创建时间,标题,PR摘要,修改文件摘要,原始是否有测试(英文),原始是否有测试(中文),是否新增测试(英文),是否新增测试(中文),自动信号(英文),自动信号(中文),人工标签(英文),人工标签(中文提示),源语言(英文),源语言(中文),目标语言(英文),目标语言(中文),源版本,目标版本,迁移模式说明,测试框架(英文),测试框架(中文),构建系统(英文),构建系统(中文),可复现性(英文),可复现性(中文),是否适合改写Issue(英文),是否适合改写Issue(中文),泄漏风险(英文),泄漏风险(中文),排除原因(英文),排除原因(中文),标注人,交叉复核状态(英文),交叉复核状态(中文),备注
py2_py3__agentscope-ai__agentscope__pr1097,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,agentscope-ai/agentscope,2024-01-12T03:41:59Z,23963,1097,https://github.com/agentscope-ai/agentscope/pull/1097,2026-01-08T09:22:58Z,feat(model): add intermediate_tool_parsing for chat model,"## AgentScope Version 1.0.11 ## Description Add a boolean parameter `intermediate_tool_parsing` in the chat model to enable JSON repair for intermediate tool use content, see #1058 ## Checklist Please check the following items before code is ready to be reviewed. - [x] Code has been formatted...",src/agentscope/_utils/_common.py; src/agentscope/message/_message_block.py; src/agentscope/model/_anthropic_model.py; src/agentscope/model/_dashscope_model.py; src/agentscope/model/_gemini_model.py; src/agentscope/model/_ollama_model.py; src/agentscope/model/_openai_model.py; tests/model_dashscope_test.py; tests/model_gemini_test.py; tests/model_ollama_test.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code; touches_tests,命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__amillb__pgMapMatch__pr34,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,amillb/pgMapMatch,2017-08-01T04:07:41Z,85,34,https://github.com/amillb/pgMapMatch/pull/34,2025-09-03T19:58:01Z,Replace deprecated iteritems() with items(),Small change: `iteritems` was deprecated in pandas > 1.5 as a duplicate of `items`. `items` can be used instead and remains compatible with older versions of pandas. (https://github.com/pandas-dev/pandas/pull/45321) https://pandas.pydata.org/pandas-...,mapmatcher.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code,命中关键词；强迁移信号；修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,,,,,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__ansible-collections__ansible.yang__pr22,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,ansible-collections/ansible.yang,2022-02-07T13:06:15Z,8,22,https://github.com/ansible-collections/ansible.yang/pull/22,2026-03-24T08:32:09Z,updated ansible core version to 2.16 and code cleanup,"Main Changes: **1. Updated Ansible Core Requirement** - Bumped minimum required version from 2.14/2.15 to 2.16.0 - Updated in meta/runtime.yml, README.md, and documentation 2. **Python Version Update** - Updated minimum Python requirement from 3.9 to 3.10 - Modified test-requirements.txt and...",README.md; changelogs/fragments/ansible_core.yaml; changelogs/fragments/support.yaml; meta/runtime.yml; plugins/action/fetch.py; plugins/lookup/json2xml.py; plugins/lookup/xml2json.py; plugins/module_utils/spec.py; plugins/module_utils/translator.py; requirements.txt; test-requirements.txt; tests/config.yml; tests/unit/plugins/lookup/test_spec.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code; touches_tests,命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__ansible-collections__community.general__pr10888,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,ansible-collections/community.general,2020-02-03T20:01:27Z,1029,10888,https://github.com/ansible-collections/community.general/pull/10888,2025-10-09T18:39:58Z,Remove all usage of ansible.module_utils.six from main branch,##### SUMMARY Ref: #10884 ##### ISSUE TYPE - Refactoring Pull Request ##### COMPONENT NAME various,changelogs/fragments/10888-six.yml; plugins/module_utils/consul.py; plugins/module_utils/csv.py; plugins/module_utils/dimensiondata.py; plugins/module_utils/gitlab.py; plugins/module_utils/homebrew.py; plugins/module_utils/identity/keycloak/keycloak.py; plugins/module_utils/ipa.py; plugins/module_utils/known_hosts.py; plugins/module_utils/lxd.py; plugins/module_utils/memset.py; plugins/module_utils/net_tools/pritunl/api.py; plugins/module_utils/ocapi_utils.py; plugins/module_utils/oneview.py; plugins/module_utils/opennebula.py; plugins/module_utils/oracle/oci_utils.py; plugins/module_utils/pkg_req.py; plugins/module_utils/redfish_utils.py; plugins/module_utils/saslprep.py; plugins/module_utils/scaleway.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code; touches_tests,命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,pytest,pytest,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__ansible-collections__community.postgresql__pr898,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,ansible-collections/community.postgresql,2020-10-22T09:23:33Z,138,898,https://github.com/ansible-collections/community.postgresql/pull/898,2025-12-02T11:06:56Z,Fix ansible 2.20.xx deprecation warnings,"##### SUMMARY ansible 2.20 deprecates importing from `ansible.module_utils._text`. This displays warnings to users of the modules. For instance, this tasks: ``` - name: 'Create a postgres user for Debian-exim' community.postgresql.postgresql_user: name: 'Debian-exim' become: true become_user:...",plugins/module_utils/database.py; plugins/module_utils/postgres.py; plugins/modules/postgresql_alter_system.py; plugins/modules/postgresql_db.py; plugins/modules/postgresql_ext.py; plugins/modules/postgresql_info.py; plugins/modules/postgresql_privs.py; plugins/modules/postgresql_query.py; plugins/modules/postgresql_schema.py; plugins/modules/postgresql_script.py; plugins/modules/postgresql_set.py; plugins/modules/postgresql_user.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code,命中关键词；强迁移信号；修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,,,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__asgard-ai-platform__mcp-shopline__pr3,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,asgard-ai-platform/mcp-shopline,,10,3,https://github.com/asgard-ai-platform/mcp-shopline/pull/3,,Migrate MCP server to official MCP Python SDK decorator pattern,## Summary - Replace the hand-rolled JSON-RPC 2.0 stdio loop in `mcp_server.py` with `MCPServer` from the [MCP Python SDK](https://github.com/modelcontextprotocol/python-sdk) (v2) - Convert all 19 tools across 3 modules to `@mcp.tool()` decorator pattern with typed parameters and `Field()`...,CONTRIBUTING.md; README.md; README.zh-TW.md; app.py; mcp_server.py; pyproject.toml; tests/test_all_tools.py; tools/analytics_tools.py; tools/order_tools.py; tools/product_tools.py; tools/tool_registry.py,true,是,false,否,touches_code; touches_tests,修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,poetry,Poetry,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__astronomer__dag-factory__pr539,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,astronomer/dag-factory,,1427,539,https://github.com/astronomer/dag-factory/pull/539,,Add `convert` CLI command to migrate from af2 to af3,"Introduce the `convert` command with the optional `--override` flag, that would apply the changes in-place. Similar to Python [2to3](https://docs.python.org/3.12/library/2to3.html), the files are not overridden by default. Examples of usage: 1. Show differences in the command line without...",dagfactory/__main__.py; dagfactory/dagfactory.py; dagfactory/utils.py; dev/dags/airflow2/example_params.yml; dev/dags/example_dag_factory_default_config_dict.yml; tests/test__main__.py; tests/test_example_dags.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code; touches_tests,命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__bigsnarfdude__Apache-access-log-parser__pr1,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,bigsnarfdude/Apache-access-log-parser,2014-02-17T22:26:03Z,5,1,https://github.com/bigsnarfdude/Apache-access-log-parser/pull/1,2025-11-13T19:47:03Z,Incomplete query - needs clarification,"- Migrate to Python 3: Update all print statements, replace .iteritems() with .items(), modernize string formatting with f-strings, update shebang to python3 - Fix critical bug: Replace silent exception handler with proper error handling and informative error messages - Remove hardcoded absolute...",http_log_parser.py; manager.py; plugins/plugin_count_200.py; plugins/plugin_count_404.py; plugins/plugin_count_500.py; plugins/plugin_geoip_stats.py; plugins/plugin_geoip_stats_city.py; requirements.txt,true,是,false,否,keyword_match; strict_migration_signal; touches_code,命中关键词；强迁移信号；修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,,,,,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__borgbackup__borg__pr9370,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,borgbackup/borg,2015-05-12T23:10:47Z,13222,9370,https://github.com/borgbackup/borg/pull/9370,2026-02-18T22:09:13Z,Fix hashindex .iteritems (1.4-maint),"<!-- Thank you for contributing to BorgBackup! Please make sure your PR complies with our contribution guidelines: https://borgbackup.readthedocs.io/en/latest/development.html#contributions --> ## Description Fix .iteritems methods to correctly check hashindex_get return value, fixes #9368. Also...",src/borg/hashindex.pyx; src/borg/testsuite/hashindex_pytest.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code; touches_tests,命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,pytest,pytest,,,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__chimpler__pyhocon__pr337,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,chimpler/pyhocon,2014-12-06T03:01:57Z,525,337,https://github.com/chimpler/pyhocon/pull/337,2026-01-13T07:03:07Z,Migrate to pyparsing 3.x and drop Python 2.7 support,"## Summary This PR migrates pyhocon from pyparsing 2.x to pyparsing 3.x, updating all deprecated API calls to use PEP8-compliant naming conventions. As pyparsing 3.x requires Python 3.6.8+, this also removes Python 2.7 and EOL Python 3.x versions (3.4-3.6) support. ## Motivation - **Pyparsing...",pyhocon/config_parser.py; pyhocon/config_tree.py; pyhocon/converter.py; pyhocon/period_parser.py; setup.py; tox.ini,true,是,false,否,keyword_match; strict_migration_signal; touches_code,命中关键词；强迁移信号；修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,pytest,pytest,setuptools,setuptools,unknown,待确认,needs_check,还需检查,medium,中,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__cokelaer__bioservices__pr290,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,cokelaer/bioservices,2014-08-28T15:24:45Z,335,290,https://github.com/cokelaer/bioservices/pull/290,2026-03-02T11:54:47Z,Add Python 3.13 and 3.14 compatibility,"Python 3.13 changed `__builtins__` in non-`__main__` modules to consistently be the module object (not a dict), breaking the Python 2 compatibility shim in `services.py`. Drops all remaining Python 2 dead code and extends CI coverage to 3.13/3.14. ## Code fixes - **`services.py`**: Remove `if...",.github/workflows/ci.yml; pyproject.toml; src/bioservices/hgnc.py; src/bioservices/services.py; src/bioservices/xmltools.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code,命中关键词；强迁移信号；修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,pytest,pytest,poetry,Poetry,unknown,待确认,needs_check,还需检查,medium,中,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__cvxopt__chompack__pr3,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,cvxopt/chompack,,25,3,https://github.com/cvxopt/chompack/pull/3,,Python 3 compatibility and memory improvements,* Avoid unnecessary memory usage in conversion * Python 3 compatibility update in maxcord,src/python/conversion.py; src/python/maxchord.py,true,是,false,否,keyword_match; touches_code,命中关键词；修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,,,,,unknown,待确认,needs_check,还需检查,medium,中,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__datalad__datalad-crawler__pr149,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,datalad/datalad-crawler,2018-04-22T17:26:16Z,6,149,https://github.com/datalad/datalad-crawler/pull/149,2026-03-10T17:59:35Z,"BF: Address datalad DeprecationWarnings for compatibility with datalad PR #7793, make compatible with boto3 by use of datalad interfaces","- Replace `assure_*` with `ensure_*` (assure_ variants emit DeprecationWarning) - Remove six dependency: iteritems→.items(), string_types→str, text_type→str, PY3 guard removed, add_metaclass→metaclass=, `from six import next` removed - Replace `from mock import` with `from unittest.mock import`...",.github/workflows/release.yml; .github/workflows/test.yml; cfgs/common.cfg; datalad_crawler/dbs/base.py; datalad_crawler/dbs/versions.py; datalad_crawler/nodes/annex.py; datalad_crawler/nodes/matches.py; datalad_crawler/nodes/misc.py; datalad_crawler/nodes/s3.py; datalad_crawler/nodes/tests/test_annex.py; datalad_crawler/nodes/tests/test_misc.py; datalad_crawler/nodes/tests/test_s3.py; datalad_crawler/pipelines/balsa.py; datalad_crawler/pipelines/crcns.py; datalad_crawler/pipelines/gh.py; datalad_crawler/pipelines/simple_s3.py; datalad_crawler/pipelines/tests/test_balsa.py; datalad_crawler/pipelines/tests/test_gh.py; datalad_crawler/pipelines/tests/test_openfmri.py; datalad_crawler/pipelines/tests/test_openfmri_collection.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code; touches_tests,命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,unittest,unittest,setuptools,setuptools,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__dgraph-io__pydgraph__pr284,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,dgraph-io/pydgraph,2016-06-30T23:52:36Z,291,284,https://github.com/dgraph-io/pydgraph/pull/284,2025-12-31T02:16:44Z,Add context manager support (fixes for PR #279),## Summary This PR incorporates the work from PR #279 with fixes for CI failures. ### Changes from original PR #279: - Add Python context manager support to `Txn` and `DgraphClientStub` classes - Update documentation and examples - Add comprehensive test coverage ### Fixes applied to make CI...,.gitignore; README.md; pydgraph/__init__.py; pydgraph/client.py; pydgraph/client_stub.py; pydgraph/txn.py; pydgraph/util.py; tests/test_acct_upsert.py; tests/test_async.py; tests/test_client_stub.py; tests/test_essentials.py; tests/test_queries.py; tests/test_txn.py; tests/test_upsert_block.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code; touches_tests,命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,medium,中,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__dynamiq-ai__dynamiq__pr506,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,dynamiq-ai/dynamiq,2024-09-26T10:20:26Z,1039,506,https://github.com/dynamiq-ai/dynamiq/pull/506,2025-12-21T11:49:28Z,fix: fragile regex in ReAct agent action parsing,The previous implementation failed when LLM outputs contained extra newlines or nested braces in JSON strings (common with provider like deepseek). The new parser reliably locates `Action Input:` and extracts JSON using balanced brace counting. Failing case: ``` Thought: I need to calculate the...,dynamiq/nodes/agents/components/parser.py; tests/integration_with_creds/agents/test_agent_structured_python_tool.py; tests/unit/nodes/agents/test_agent_parsing.py,true,是,true,是,adds_new_tests; strict_migration_signal; touches_code; touches_tests,新增测试；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__easybuilders__easybuild-easyblocks__pr1740,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,easybuilders/easybuild-easyblocks,2012-10-15T14:31:19Z,117,1740,https://github.com/easybuilders/easybuild-easyblocks/pull/1740,2019-05-31T15:46:03Z,fix GROMACS easyblock for list-type configopts,"GROMACS easyblock currently fails in `sanity_check_step` when used with a list-type `configopts` config like: ``` configopts = [ ""-DGMX_THREAD_MPI=OFF -DGMX_DOUBLE=OFF"", ""-DGMX_THREAD_MPI=OFF -DGMX_DOUBLE=ON"", ] ``` This patch fixes this issue by correctly iterating over multiple configopts...",easybuild/easyblocks/g/gromacs.py,true,是,false,否,touches_code,修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,,,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__etal__cnvkit__pr981,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,etal/cnvkit,2014-07-07T20:12:27Z,606,981,https://github.com/etal/cnvkit/pull/981,2026-01-31T10:00:22Z,"Fix ""import rna"" bugs: #944, #706, #596, #499",Improve error messages to help triage.,cnvlib/rna.py; test/test_rna.py,true,是,true,是,adds_new_tests; touches_code; touches_tests,新增测试；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__flashinfer-ai__flashinfer__pr2308,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,flashinfer-ai/flashinfer,2023-07-22T00:29:04Z,5431,2308,https://github.com/flashinfer-ai/flashinfer/pull/2308,2026-01-08T06:40:45Z,Fix: FilteredTopKUnifiedKernel read value out of length,<!-- .github/pull_request_template.md --> ## 📌 Description I found an issue in the implementation of `top_k_ragged_transform` where elements beyond the specified `lengths` range can be read. This leads to out-of-bounds indices in the result. Minimal repro: ```python...,include/flashinfer/topk.cuh; tests/utils/test_topk.py,true,是,false,否,touches_code; touches_tests,修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,unittest,unittest,,,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__flashinfer-ai__flashinfer__pr2605,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,flashinfer-ai/flashinfer,2023-07-22T00:29:04Z,5431,2605,https://github.com/flashinfer-ai/flashinfer/pull/2605,2026-02-20T17:02:50Z,[bugfix] Fix FilteredTopK overflow correctness,"<!-- .github/pull_request_template.md --> ## 📌 Description This PR fixes issue #2604: FilteredTopK could produce incorrect results when the refine candidate buffer overflows in long-sequence, tie-heavy workloads. ### Root Cause FilteredTopK uses a fixed-size refine candidate buffer...",include/flashinfer/topk.cuh; tests/utils/test_topk.py,true,是,false,否,touches_code; touches_tests,修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,unittest,unittest,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__flozi00__qdrant-proxy__pr3,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,flozi00/qdrant-proxy,,5,3,https://github.com/flozi00/qdrant-proxy/pull/3,,"Optimize Docker build: use uv + Alpine, reduce image size by 24%","Migrates Docker build from `python:3.12-slim` + pip to `python:3.12-alpine` + uv package manager, implementing a proper 3-stage multi-stage build as outlined in the [uv Docker integration guide](https://docs.astral.sh/uv/guides/integration/docker/#available-images). ## Changes **Dockerfile...",Dockerfile; admin-ui/src/components/RecentDocumentsPanel.tsx; admin-ui/src/types.ts; knowledge_graph/__pycache__/__init__.cpython-312.pyc; knowledge_graph/__pycache__/models.cpython-312.pyc; routes/admin/query_queue.py; services/feedback_pairs.py; services/query_queue.py; tests/test_embedding_retry.py; tests/test_feedback_pairs.py; tests/test_recent_indexing.py; utils/__init__.py; utils/timings.py,true,是,true,是,adds_new_tests; keyword_match; strict_migration_signal; touches_code; touches_tests,新增测试；命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__genkit-ai__genkit__pr4519,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,genkit-ai/genkit,2024-04-29T22:04:42Z,5803,4519,https://github.com/genkit-ai/genkit/pull/4519,2026-02-09T04:25:08Z,fix(py/core): raise GenkitError when arun_raw receives None input but requires validation,"## Description Previously, when the Dev UI invoked an action (like an embedder) without providing any input payload, would receive as . This was then passed to , causing a cryptic Pydantic `ValidationError` (Input should be a valid dictionary) instead of a clear error message. This PR fixes this...",py/GEMINI.md; py/packages/genkit/src/genkit/core/action/_action.py; py/packages/genkit/tests/genkit/core/action_test.py,true,是,false,否,strict_migration_signal; touches_code; touches_tests,强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__gobii-ai__gobii-platform__pr402,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,gobii-ai/gobii-platform,2025-08-30T13:28:37Z,405,402,https://github.com/gobii-ai/gobii-platform/pull/402,2026-01-06T15:29:40Z,2026 01 06 fixes,,api/agent/core/event_processing.py; api/agent/core/prompt_context.py; api/agent/core/tool_results.py; api/agent/tools/sqlite_batch.py; api/agent/tools/sqlite_guardrails.py; api/agent/tools/sqlite_kanban.py; frontend/src/components/agentChat/KanbanEventCard.tsx; frontend/src/components/agentChat/kanban.css; frontend/src/components/agentChat/tooling/toolRegistry.ts; frontend/src/components/agentChat/tooling/types.ts; frontend/src/components/tooling/toolMetadata.ts; tests/unit/test_agent_event_processing_credits.py; tests/unit/test_event_processing.py; tests/unit/test_event_processing_batch_sleep.py; tests/unit/test_event_processing_implied_send.py; tests/unit/test_event_processing_token_counting.py,true,是,false,否,keyword_match; touches_code; touches_tests,命中关键词；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__googleapis__python-bigquery-pandas__pr455,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,googleapis/python-bigquery-pandas,2017-02-08T13:07:19Z,490,455,https://github.com/googleapis/python-bigquery-pandas/pull/455,2022-01-05T20:38:21Z,fix: use data project for destination in `to_gbq`,"Thank you for opening a Pull Request! Before submitting your PR, there are a few things you can do to make sure it goes smoothly: - [ ] Make sure to open an issue as a [bug/issue](https://github.com/googleapis/python-bigquery-pandas/issues/new/choose) before writing your code! That way we can...",pandas_gbq/gbq.py; pandas_gbq/load.py; tests/unit/test_to_gbq.py,true,是,false,否,touches_code; touches_tests,修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__googleapis__python-bigquery-pandas__pr469,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,googleapis/python-bigquery-pandas,2017-02-08T13:07:19Z,490,469,https://github.com/googleapis/python-bigquery-pandas/pull/469,2022-01-18T19:47:09Z,"fix: avoid use of `Series.iteritems`, which is deprecated in pandas prerelease","Thank you for opening a Pull Request! Before submitting your PR, there are a few things you can do to make sure it goes smoothly: - [ ] Make sure to open an issue as a [bug/issue](https://github.com/googleapis/python-bigquery-pandas/issues/new/choose) before writing your code! That way we can...",pandas_gbq/schema.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code,命中关键词；强迁移信号；修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,,,,,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
